ID;DistanciaMinimaDijkstra;NodoInicioOptimoDijkstra;CaminoOptimoDijkstra;DistanciaMinimaAStar;NodoInicioOptimoAStar;CaminoOptimoAStar;DistanciaMinimaBellmanFord;NodoInicioOptimoBellmanFord;CaminoOptimoBellmanFord
0;50,71386020917301;50;50->0;50,71386020917301;50;50->0;50,71386020917301;50;50->0
1;45,12720148412732;50;50->1;45,12720148412732;50;50->1;45,12720148412732;50;50->1
2;54,72151176365842;50;50->2;54,72151176365842;50;50->2;54,72151176365842;50;50->2
3;63,650415757286915;50;50->4->3;63,650415757286915;50;50->4->3;63,650415757286915;50;50->4->3
4;55,217800169798245;50;50->4;55,217800169798245;50;50->4;55,217800169798245;50;50->4
5;64,04358452387648;50;50->4->5;64,04358452387648;50;50->4->5;64,04358452387648;50;50->4->5
6;67,89354649002595;50;50->4->6;67,89354649002595;50;50->4->6;67,89354649002595;50;50->4->6
7;71,41232784422704;50;50->4->7;71,41232784422704;50;50->4->7;71,41232784422704;50;50->4->7
8;72,6538817115337;50;50->4->8;72,6538817115337;50;50->4->8;72,6538817115337;50;50->4->8
9;75,55768521596232;50;50->4->9;75,55768521596232;50;50->4->9;75,55768521596232;50;50->4->9
10;66,1863181158008;50;50->26->10;66,1863181158008;50;50->26->10;66,1863181158008;50;50->26->10
11;67,6083435931108;50;50->26->10->11;67,6083435931108;50;50->26->10->11;67,6083435931108;50;50->26->10->11
12;75,49882818272218;50;50->4->12;75,49882818272218;50;50->4->12;75,49882818272218;50;50->4->12
13;75,26268045205043;50;50->4->6->13;75,26268045205043;50;50->4->6->13;75,26268045205043;50;50->4->6->13
14;78,41293955100267;50;50->4->6->14;78,41293955100267;50;50->4->6->14;78,41293955100267;50;50->4->6->14
15;92,10413632078303;50;50->26->30->16->15;92,10413632078303;50;50->26->30->16->15;92,10413632078303;50;50->26->30->16->15
16;76,579895250444;50;50->26->30->16;76,579895250444;50;50->26->30->16;76,579895250444;50;50->26->30->16
17;82,72510362718741;50;50->26->30->16->17;82,72510362718741;50;50->26->30->16->17;82,72510362718741;50;50->26->30->16->17
18;89,86190535825696;50;50->26->30->16->18;89,86190535825696;50;50->26->30->16->18;89,86190535825696;50;50->26->30->16->18
19;90,16638416949127;50;50->26->30->16->19;90,16638416949127;50;50->26->30->16->19;90,16638416949127;50;50->26->30->16->19
20;98,89912655875486;50;50->26->31->35->20;98,89912655875486;50;50->26->31->35->20;98,89912655875486;50;50->26->31->35->20
