ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;661773,315;5687520,529;255,17;661752,9757;5687564,451;270,30494
1;661773,315;5687520,529;255,17;661756,3094;5687559,078;271,3331829
2;661773,315;5687520,529;255,17;661737,6372;5687559,472;269,4871641
3;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
4;661746,056;5687566,727;268,2733267;661738,2726;5687569,894;267,5677765
5;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
6;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
7;661746,056;5687566,727;268,2733267;661738,0932;5687570,348;267,1000217
8;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
9;661746,056;5687566,727;268,2733267;661738,6913;5687576,904;266,58087
10;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
11;661746,056;5687566,727;268,2733267;661734,4537;5687577,712;265,6315212
12;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
13;661746,056;5687566,727;268,2733267;661733,178;5687578,071;265,1931125
14;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
15;661746,056;5687566,727;268,2733267;661731,9116;5687580,664;263,868
16;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
17;661761,491;5687566,576;264,7319629;661750,9865;5687580,802;265,308474
18;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
19;661761,491;5687566,576;264,7319629;661750,9865;5687580,802;265,308474
20;661750,9865;5687580,802;265,308474;661750,4769;5687579,852;264,3811314
21;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
22;661746,056;5687566,727;268,2733267;661733,6957;5687581,53;261,995248
23;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
24;661746,056;5687566,727;268,2733267;661738,6913;5687576,904;266,58087
25;661738,6913;5687576,904;266,58087;661739,4606;5687581,619;260,970069
26;661773,315;5687520,529;255,17;661746,056;5687566,727;268,2733267
27;661746,056;5687566,727;268,2733267;661738,6913;5687576,904;266,58087
28;661738,6913;5687576,904;266,58087;661741,2824;5687584,141;259,399668
29;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
30;661761,491;5687566,576;264,7319629;661756,6407;5687579,876;262,440384
31;661756,6407;5687579,876;262,440384;661745,1288;5687585,65;257,6355671
32;661745,1288;5687585,65;257,6355671;661736,767;5687598,589;255,721242
33;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
34;661761,491;5687566,576;264,7319629;661756,6407;5687579,876;262,440384
35;661756,6407;5687579,876;262,440384;661745,1288;5687585,65;257,6355671
36;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
37;661761,491;5687566,576;264,7319629;661756,6407;5687579,876;262,440384
38;661756,6407;5687579,876;262,440384;661745,1288;5687585,65;257,6355671
39;661745,1288;5687585,65;257,6355671;661744,2332;5687591,495;255,9630057
40;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
41;661761,491;5687566,576;264,7319629;661756,6407;5687579,876;262,440384
42;661756,6407;5687579,876;262,440384;661745,1288;5687585,65;257,6355671
43;661745,1288;5687585,65;257,6355671;661742,0032;5687597,877;253,49517
44;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
45;661761,491;5687566,576;264,7319629;661756,6407;5687579,876;262,440384
46;661756,6407;5687579,876;262,440384;661745,1288;5687585,65;257,6355671
47;661745,1288;5687585,65;257,6355671;661737,3694;5687596,359;254,52081
48;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
49;661761,491;5687566,576;264,7319629;661754,4965;5687584,863;261,73088
50;661754,4965;5687584,863;261,73088;661749,9687;5687600,018;257,7883842
51;661749,9687;5687600,018;257,7883842;661739,2789;5687607,672;252,1698943
52;661773,315;5687520,529;255,17;661761,491;5687566,576;264,7319629
53;661761,491;5687566,576;264,7319629;661756,6407;5687579,876;262,440384
54;661756,6407;5687579,876;262,440384;661745,1288;5687585,65;257,6355671
55;661745,1288;5687585,65;257,6355671;661744,2332;5687591,495;255,9630057
56;661744,2332;5687591,495;255,9630057;661745,992;5687602,004;252,0644853
