ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;689778,2091;5830202,505;580,8;689765,1601;5830212,341;573,8
1;689778,2091;5830202,505;580,8;689764,3563;5830220,547;573,1
2;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
3;689771,4044;5830211,734;577,9;689766,8275;5830229,341;573,4
4;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
5;689771,4044;5830211,734;577,9;689765,2037;5830238,205;572,7
6;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
7;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
8;689778,2091;5830202,505;580,8;689775,6647;5830228,986;579,1
9;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
10;689776,8345;5830219,227;579,1;689772,4495;5830239,237;578,3
11;689778,2091;5830202,505;580,8;689781,8435;5830228,37;580,4
12;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
13;689776,8345;5830219,227;579,1;689780,8092;5830246,877;577,7
14;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
15;689776,8345;5830219,227;579,1;689768,579;5830248,047;576,7
16;689790,642;5830199,864;582,7;689799,0441;5830207,588;581
17;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
18;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
19;689799,3561;5830220,605;580;689796,0275;5830232,142;578,8
20;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
21;689799,3561;5830220,605;580;689799,3591;5830237,233;577,2
22;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
23;689810,5042;5830196,711;581,6;689805,3567;5830221,183;576,8
24;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
25;689776,8345;5830219,227;579,1;689764,4516;5830250,05;575,3
26;689778,2091;5830202,505;580,8;689775,6647;5830228,986;579,1
27;689775,6647;5830228,986;579,1;689776,0166;5830255,051;574,8
28;689778,2091;5830202,505;580,8;689781,8435;5830228,37;580,4
29;689781,8435;5830228,37;580,4;689794,8241;5830252,281;573,9
30;689778,2091;5830202,505;580,8;689781,8435;5830228,37;580,4
31;689781,8435;5830228,37;580,4;689794,9154;5830252,989;573,5
32;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
33;689799,3561;5830220,605;580;689799,3591;5830237,233;577,2
34;689799,3591;5830237,233;577,2;689799,4694;5830256,998;572,7
35;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
36;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
37;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
38;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
39;689781,0464;5830240,79;575,8;689793,9255;5830281,238;569,2
40;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
41;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
42;689781,0464;5830240,79;575,8;689793,9806;5830299,562;566,1
43;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
44;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
45;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
46;689779,2072;5830282,612;566,7;689786,5477;5830298,229;564,9
47;689778,2091;5830202,505;580,8;689775,6647;5830228,986;579,1
48;689775,6647;5830228,986;579,1;689776,0166;5830255,051;574,8
49;689776,0166;5830255,051;574,8;689769,5269;5830263,465;567,9
50;689769,5269;5830263,465;567,9;689776,0678;5830271,322;569
51;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
52;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
53;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
54;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
55;689776,8345;5830219,227;579,1;689770,0091;5830236,091;571,5
56;689770,0091;5830236,091;571,5;689768,5029;5830301,465;563,9
57;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
58;689776,8345;5830219,227;579,1;689781,0464;5830240,79;575,8
59;689781,0464;5830240,79;575,8;689779,2072;5830282,612;566,7
60;689779,2072;5830282,612;566,7;689777,0151;5830292,944;564,9
61;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
62;689771,4044;5830211,734;577,9;689766,8275;5830229,341;573,4
63;689766,8275;5830229,341;573,4;689765,7987;5830257,133;568,5
64;689778,2091;5830202,505;580,8;689775,6647;5830228,986;579,1
65;689775,6647;5830228,986;579,1;689776,0166;5830255,051;574,8
66;689776,0166;5830255,051;574,8;689769,5269;5830263,465;567,9
67;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
68;689771,4044;5830211,734;577,9;689766,8275;5830229,341;573,4
69;689766,8275;5830229,341;573,4;689765,7987;5830257,133;568,5
70;689765,7987;5830257,133;568,5;689765,9925;5830264,386;567,6
71;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
72;689771,4044;5830211,734;577,9;689766,8275;5830229,341;573,4
73;689766,8275;5830229,341;573,4;689765,7987;5830257,133;568,5
74;689765,7987;5830257,133;568,5;689769,025;5830271,25;567,4
75;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
76;689771,4044;5830211,734;577,9;689766,8275;5830229,341;573,4
