ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;791248,722;5923699,399;663,4;791232,9417;5923684,156;690,0869751
1;791248,722;5923699,399;663,4;791229,4145;5923680,627;689,0020142
2;791248,722;5923699,399;663,4;791229,5452;5923671,292;687,7869873
3;791248,722;5923699,399;663,4;791224,8705;5923663,444;698,5759888
4;791248,722;5923699,399;663,4;791229,5452;5923671,292;687,7869873
5;791229,5452;5923671,292;687,7869873;791223,0011;5923657,012;694,0750122
6;791248,722;5923699,399;663,4;791229,5452;5923671,292;687,7869873
7;791229,5452;5923671,292;687,7869873;791216,0818;5923654,537;692,5449829
8;791248,722;5923699,399;663,4;791229,5452;5923671,292;687,7869873
9;791229,5452;5923671,292;687,7869873;791215,7445;5923644,347;695,9829712
10;791248,722;5923699,399;663,4;791229,5452;5923671,292;687,7869873
11;791229,5452;5923671,292;687,7869873;791216,8138;5923640,17;696,2600098
12;791248,722;5923699,399;663,4;791229,5452;5923671,292;687,7869873
13;791229,5452;5923671,292;687,7869873;791211,036;5923638,36;688,3930054
14;791248,722;5923699,399;663,4;791254,7163;5923683,243;691,0499878
15;791248,722;5923699,399;663,4;791257,5307;5923671,421;688,5139771
16;791248,722;5923699,399;663,4;791257,5307;5923671,421;688,5139771
17;791257,5307;5923671,421;688,5139771;791244,2296;5923615,85;685,7160034
18;791248,722;5923699,399;663,4;791257,5307;5923671,421;688,5139771
19;791257,5307;5923671,421;688,5139771;791229,5679;5923584,887;685,572998
20;791248,722;5923699,399;663,4;791257,5307;5923671,421;688,5139771
21;791257,5307;5923671,421;688,5139771;791227,2881;5923577,849;686,7449951
22;791276,198;5923698,164;665,8;791291,56;5923682,09;687,0170288
23;791276,198;5923698,164;665,8;791291,9564;5923676,375;692,9979858
24;791276,198;5923698,164;665,8;791296,5866;5923674,237;693,4140015
25;791276,198;5923698,164;665,8;791294,6523;5923668,019;693,3189697
26;791276,198;5923698,164;665,8;791294,6523;5923668,019;693,3189697
27;791294,6523;5923668,019;693,3189697;791292,8537;5923632,787;694,9530029
28;791276,198;5923698,164;665,8;791294,6523;5923668,019;693,3189697
29;791294,6523;5923668,019;693,3189697;791286,8792;5923617,656;691,4050293
30;791276,198;5923698,164;665,8;791294,6523;5923668,019;693,3189697
31;791294,6523;5923668,019;693,3189697;791276,4896;5923604,816;691,0780029
32;791276,198;5923698,164;665,8;791294,6523;5923668,019;693,3189697
33;791294,6523;5923668,019;693,3189697;791286,8792;5923617,656;691,4050293
34;791286,8792;5923617,656;691,4050293;791273,3121;5923588,053;681,7869873
35;791276,198;5923698,164;665,8;791294,6523;5923668,019;693,3189697
36;791294,6523;5923668,019;693,3189697;791276,4896;5923604,816;691,0780029
37;791276,4896;5923604,816;691,0780029;791270,5386;5923582,049;690,7059937
