ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;689773,9932;5830182,612;580,7;689771,4044;5830211,734;577,9
1;689773,9932;5830182,612;580,7;689765,1601;5830212,341;573,8
2;689773,9932;5830182,612;580,7;689799,0441;5830207,588;581
3;689773,9932;5830182,612;580,7;689776,8345;5830219,227;579,1
4;689773,9932;5830182,612;580,7;689764,3563;5830220,547;573,1
5;689773,9932;5830182,612;580,7;689799,3561;5830220,605;580
6;689773,9932;5830182,612;580,7;689781,8435;5830228,37;580,4
7;689773,9932;5830182,612;580,7;689775,6647;5830228,986;579,1
8;689789,3687;5830178,845;584,7;689799,0441;5830207,588;581
9;689789,3687;5830178,845;584,7;689771,4044;5830211,734;577,9
10;689789,3687;5830178,845;584,7;689811,5739;5830210,551;577,5
11;689789,3687;5830178,845;584,7;689819,5382;5830208,311;578,4
12;689789,3687;5830178,845;584,7;689776,8345;5830219,227;579,1
13;689789,3687;5830178,845;584,7;689765,1601;5830212,341;573,8
14;689789,3687;5830178,845;584,7;689799,3561;5830220,605;580
15;689789,3687;5830178,845;584,7;689833,135;5830178,356;583
16;689808,4618;5830178,952;584,6;689833,135;5830178,356;583
17;689808,4618;5830178,952;584,6;689799,0441;5830207,588;581
18;689808,4618;5830178,952;584,6;689819,5382;5830208,311;578,4
19;689808,4618;5830178,952;584,6;689811,5739;5830210,551;577,5
20;689808,4618;5830178,952;584,6;689839,1207;5830163,409;587,5
21;689808,4618;5830178,952;584,6;689843,4943;5830175,939;581,6
22;689808,4618;5830178,952;584,6;689846,1375;5830176,845;579,5
23;689808,4618;5830178,952;584,6;689823,4928;5830218,126;575,9
24;689810,5042;5830196,711;581,6;689811,5739;5830210,551;577,5
25;689810,5042;5830196,711;581,6;689819,5382;5830208,311;578,4
26;689810,5042;5830196,711;581,6;689799,0441;5830207,588;581
27;689810,5042;5830196,711;581,6;689805,3567;5830221,183;576,8
28;689810,5042;5830196,711;581,6;689823,4928;5830218,126;575,9
29;689810,5042;5830196,711;581,6;689799,3561;5830220,605;580
30;689810,5042;5830196,711;581,6;689833,135;5830178,356;583
31;689810,5042;5830196,711;581,6;689805,8426;5830228,357;574,7
32;689790,642;5830199,864;582,7;689799,0441;5830207,588;581
33;689790,642;5830199,864;582,7;689799,3561;5830220,605;580
34;689790,642;5830199,864;582,7;689771,4044;5830211,734;577,9
35;689790,642;5830199,864;582,7;689776,8345;5830219,227;579,1
36;689790,642;5830199,864;582,7;689811,5739;5830210,551;577,5
37;689790,642;5830199,864;582,7;689805,3567;5830221,183;576,8
38;689790,642;5830199,864;582,7;689765,1601;5830212,341;573,8
39;689790,642;5830199,864;582,7;689781,8435;5830228,37;580,4
40;689778,2091;5830202,505;580,8;689771,4044;5830211,734;577,9
41;689778,2091;5830202,505;580,8;689776,8345;5830219,227;579,1
42;689778,2091;5830202,505;580,8;689765,1601;5830212,341;573,8
43;689778,2091;5830202,505;580,8;689799,0441;5830207,588;581
44;689778,2091;5830202,505;580,8;689764,3563;5830220,547;573,1
45;689778,2091;5830202,505;580,8;689781,8435;5830228,37;580,4
46;689778,2091;5830202,505;580,8;689775,6647;5830228,986;579,1
47;689778,2091;5830202,505;580,8;689799,3561;5830220,605;580
48;689756,6786;5830192,39;575,6;689765,1601;5830212,341;573,8
49;689756,6786;5830192,39;575,6;689771,4044;5830211,734;577,9
50;689756,6786;5830192,39;575,6;689764,3563;5830220,547;573,1
51;689756,6786;5830192,39;575,6;689776,8345;5830219,227;579,1
52;689756,6786;5830192,39;575,6;689766,8275;5830229,341;573,4
53;689756,6786;5830192,39;575,6;689775,6647;5830228,986;579,1
54;689756,6786;5830192,39;575,6;689781,8435;5830228,37;580,4
55;689756,6786;5830192,39;575,6;689799,0441;5830207,588;581
