ID;CoordXInicio;CoordYInicio;CoordZInicio;CoordXFin;CoordYFin;CoordZFin
0;791232,9417;5923684,156;690,0869751;791229,4145;5923680,627;689,0020142
1;791232,9417;5923684,156;690,0869751;791229,5452;5923671,292;687,7869873
2;791232,9417;5923684,156;690,0869751;791224,8705;5923663,444;698,5759888
3;791232,9417;5923684,156;690,0869751;791223,0011;5923657,012;694,0750122
4;791232,9417;5923684,156;690,0869751;791216,0818;5923654,537;692,5449829
5;791232,9417;5923684,156;690,0869751;791257,5307;5923671,421;688,5139771
6;791232,9417;5923684,156;690,0869751;791254,7163;5923683,243;691,0499878
7;791232,9417;5923684,156;690,0869751;791211,036;5923638,36;688,3930054
8;791229,4145;5923680,627;689,0020142;791232,9417;5923684,156;690,0869751
9;791229,4145;5923680,627;689,0020142;791229,5452;5923671,292;687,7869873
10;791229,4145;5923680,627;689,0020142;791224,8705;5923663,444;698,5759888
11;791229,4145;5923680,627;689,0020142;791223,0011;5923657,012;694,0750122
12;791229,4145;5923680,627;689,0020142;791216,0818;5923654,537;692,5449829
13;791229,4145;5923680,627;689,0020142;791215,7445;5923644,347;695,9829712
14;791229,4145;5923680,627;689,0020142;791254,7163;5923683,243;691,0499878
15;791229,4145;5923680,627;689,0020142;791211,036;5923638,36;688,3930054
16;791229,5452;5923671,292;687,7869873;791232,9417;5923684,156;690,0869751
17;791229,5452;5923671,292;687,7869873;791229,4145;5923680,627;689,0020142
18;791229,5452;5923671,292;687,7869873;791224,8705;5923663,444;698,5759888
19;791229,5452;5923671,292;687,7869873;791223,0011;5923657,012;694,0750122
20;791229,5452;5923671,292;687,7869873;791216,0818;5923654,537;692,5449829
21;791229,5452;5923671,292;687,7869873;791215,7445;5923644,347;695,9829712
22;791229,5452;5923671,292;687,7869873;791254,7163;5923683,243;691,0499878
23;791229,5452;5923671,292;687,7869873;791211,036;5923638,36;688,3930054
24;791224,8705;5923663,444;698,5759888;791232,9417;5923684,156;690,0869751
