FID;ID_OK;Ciclo;Coord_x;Coord_y;Coord_z
0;1;1;791232,9417;5923684,156;690,0869751
1;2;2;791229,4145;5923680,627;689,0020142
2;3;3;791229,5452;5923671,292;687,7869873
3;4;4;791224,8705;5923663,444;698,5759888
4;5;5;791223,0011;5923657,012;694,0750122
5;6;6;791216,0818;5923654,537;692,5449829
6;7;7;791215,7445;5923644,347;695,9829712
7;8;8;791216,8138;5923640,17;696,2600098
8;9;9;791211,036;5923638,36;688,3930054
9;10;10;791254,7163;5923683,243;691,0499878
10;11;11;791257,5307;5923671,421;688,5139771
12;12;13;791244,2296;5923615,85;685,7160034
13;13;14;791229,5679;5923584,887;685,572998
14;14;15;791227,2881;5923577,849;686,7449951
15;15;16;791291,56;5923682,09;687,0170288
16;16;17;791291,9564;5923676,375;692,9979858
17;17;18;791296,5866;5923674,237;693,4140015
18;18;19;791294,6523;5923668,019;693,3189697
19;19;20;791292,8537;5923632,787;694,9530029
20;20;21;791286,8792;5923617,656;691,4050293
21;21;22;791276,4896;5923604,816;691,0780029
22;22;23;791273,3121;5923588,053;681,7869873
23;23;24;791270,5386;5923582,049;690,7059937
24;24;25;791259,7248;5923560,294;684,2349854
25;25;26;791258,1773;5923555,279;685,0200195
26;26;27;791253,6776;5923552,501;682,8530273
27;27;28;791346,8365;5923681,611;691,9099731
28;28;29;791342,8921;5923672,858;689,4650269
29;29;30;791342,7992;5923669,405;688,8029785
30;30;31;791341,473;5923663,44;684,3029785
31;31;32;791342,6379;5923661,518;684,5209961
32;32;33;791336,1852;5923646,334;689,2869873
33;33;34;791336,8098;5923647,56;686,5189819
34;34;35;791327,8522;5923638,004;681,0570068
35;35;36;791327,8491;5923632,578;677,4379883
36;36;37;791310,774;5923608,282;676,7890015
37;37;38;791308,7312;5923603,498;675,0780029
38;38;39;791304,9448;5923597,196;677,2150269
39;39;40;791300,9336;5923592,16;673,9429932
40;40;41;791297,8728;5923588,027;672,7039795
41;41;42;791296,4086;5923587,598;670,7930298
42;42;43;791295,2007;5923585,619;675,8770142
44;43;45;791394,7521;5923684,333;690,6660156
45;44;46;791396,5058;5923681,673;688,6879883
46;45;47;791395,958;5923682,248;687,7269897
47;46;48;791404,5821;5923688,554;691,5189819
48;47;49;791401,866;5923683,266;691,0739746
49;48;50;791394,3205;5923675,363;689,8670044
