FID;ID_OK;Ciclo;Coord_x;Coord_y;Coord_z
0;1;1;661752,9757;5687564,451;270,30494
1;2;2;661756,3094;5687559,078;271,3331829
2;3;3;661737,6372;5687559,472;269,4871641
3;4;4;661738,2726;5687569,894;267,5677765
4;5;5;661746,056;5687566,727;268,2733267
5;6;6;661738,0932;5687570,348;267,1000217
6;7;7;661738,6913;5687576,904;266,58087
7;8;8;661734,4537;5687577,712;265,6315212
8;9;9;661733,178;5687578,071;265,1931125
9;10;10;661731,9116;5687580,664;263,868
10;11;11;661750,9865;5687580,802;265,308474
11;12;12;661750,4769;5687579,852;264,3811314
12;13;13;661733,6957;5687581,53;261,995248
13;14;14;661739,4606;5687581,619;260,970069
14;15;15;661741,2824;5687584,141;259,399668
15;16;16;661736,767;5687598,589;255,721242
16;17;17;661745,1288;5687585,65;257,6355671
17;18;18;661744,2332;5687591,495;255,9630057
18;19;19;661742,0032;5687597,877;253,49517
19;20;20;661737,3694;5687596,359;254,52081
20;21;21;661739,2789;5687607,672;252,1698943
21;22;22;661745,992;5687602,004;252,0644853
22;23;23;661746,1845;5687614,16;251,201275
23;24;24;661743,7108;5687602,814;253,04556
24;25;25;661764,6174;5687550,402;267,9136557
25;26;26;661763,063;5687560,533;266,8841289
26;27;27;661761,491;5687566,576;264,7319629
27;28;28;661765,1696;5687570,671;263,8277236
28;29;29;661769,4781;5687585,739;261,7755747
29;30;30;661759,9792;5687575,626;263,5752774
30;31;31;661756,6407;5687579,876;262,440384
31;32;32;661754,4965;5687584,863;261,73088
32;33;33;661760,0747;5687593,301;260,86018
33;34;34;661764,9317;5687596,861;260,5207707
34;35;35;661759,4844;5687599,408;259,2890833
35;36;36;661749,9687;5687600,018;257,7883842
36;37;37;661754,1959;5687611,614;255,63419
37;38;38;661755,5602;5687615,292;251,2145967
38;39;39;661769,2983;5687605,921;254,599194
39;40;40;661765,9258;5687608,742;255,0255311
40;41;41;661757,8609;5687618,608;253,694385
41;42;42;661750,9595;5687619,785;252,5476425
42;43;43;661748,8247;5687623,578;252,1759775
43;44;44;661748,8209;5687631,253;250,546892
44;45;45;661754,6551;5687634,422;250,6732255
45;46;46;661756,4342;5687635,239;250,79813
46;47;47;661754,1508;5687641,29;248,5033364
47;48;48;661755,4336;5687645,539;248,8703367
48;49;49;661764,1195;5687621,932;254,81747
49;50;50;661768,3028;5687624,139;252,9364087
